investor_id,date,loan_id,amount,principal_payment,interest_payment
3,2022-05-01,592,-11000,-11000,0
1,2022-05-01,781,-26250,-26250,0
3,2022-05-01,781,-11000,-11000,0
4,2022-05-01,781,-2500,-2500,0
2,2022-05-02,381,-16000,-16000,0
3,2022-05-02,381,-27500,-27500,0
4,2022-05-02,381,-500,-500,0
3,2022-05-04,282,-11000,-11000,0
4,2022-05-04,282,-2500,-2500,0
1,2022-05-04,526,-26250,-26250,0
3,2022-05-04,526,-11000,-11000,0
4,2022-05-04,526,-2500,-2500,0
1,2022-05-04,599,-26250,-26250,0
3,2022-05-04,599,-11000,-11000,0
4,2022-05-04,599,-2500,-2500,0
1,2022-05-05,21,-5250,-5250,0
2,2022-05-05,21,-16000,-16000,0
3,2022-05-05,545,-11000,-11000,0
4,2022-05-05,545,-2500,-2500,0
4,2022-05-05,621,-2500,-2500,0
1,2022-05-06,198,-26250,-26250,0
1,2022-05-06,508,-5250,-5250,0
2,2022-05-06,508,-16000,-16000,0
4,2022-05-06,508,-500,-500,0
5,2022-05-06,508,-10000,-10000,0
4,2022-05-06,604,-2500,-2500,0
1,2022-05-06,972,-26250,-26250,0
3,2022-05-06,972,-11000,-11000,0
4,2022-05-06,972,-2500,-2500,0
3,2022-05-07,295,-11000,-11000,0
4,2022-05-07,295,-2500,-2500,0
4,2022-05-07,588,-2500,-2500,0
1,2022-05-07,644,-5250,-5250,0
2,2022-05-07,644,-16000,-16000,0
3,2022-05-07,644,-27500,-27500,0
4,2022-05-07,644,-500,-500,0
1,2022-05-08,619,-26250,-26250,0
4,2022-05-08,619,-2500,-2500,0
3,2022-05-08,909,-110000,-110000,0
1,2022-05-08,914,-26250,-26250,0
1,2022-05-09,93,-26250,-26250,0
4,2022-05-09,93,-2500,-2500,0
2,2022-05-09,757,-80000,-80000,0
3,2022-05-09,757,-110000,-110000,0
5,2022-05-09,757,-50000,-50000,0
1,2022-05-09,763,-5250,-5250,0
2,2022-05-09,763,-16000,-16000,0
3,2022-05-09,763,-27500,-27500,0
3,2022-05-09,990,-11000,-11000,0
4,2022-05-09,990,-2500,-2500,0
3,2022-05-10,54,-11000,-11000,0
1,2022-05-10,387,-26250,-26250,0
4,2022-05-10,387,-2500,-2500,0
4,2022-05-10,516,-2500,-2500,0
1,2022-05-10,721,-5250,-5250,0
3,2022-05-10,721,-27500,-27500,0
4,2022-05-10,721,-500,-500,0
3,2022-05-11,208,-11000,-11000,0
4,2022-05-11,208,-2500,-2500,0
1,2022-05-11,437,-26250,-26250,0
4,2022-05-11,437,-2500,-2500,0
1,2022-05-11,525,-26250,-26250,0
3,2022-05-11,525,-11000,-11000,0
4,2022-05-11,525,-2500,-2500,0
1,2022-05-11,915,-5250,-5250,0
2,2022-05-11,915,-16000,-16000,0
4,2022-05-11,915,-500,-500,0
5,2022-05-11,915,-10000,-10000,0
1,2022-05-12,168,-26250,-26250,0
3,2022-05-12,168,-11000,-11000,0
4,2022-05-12,168,-2500,-2500,0
1,2022-05-12,511,-26250,-26250,0
4,2022-05-12,511,-2500,-2500,0
1,2022-05-12,885,-5250,-5250,0
2,2022-05-12,885,-16000,-16000,0
3,2022-05-12,885,-27500,-27500,0
4,2022-05-12,885,-500,-500,0
1,2022-05-13,173,-26250,-26250,0
4,2022-05-13,173,-2500,-2500,0
1,2022-05-13,265,-26250,-26250,0
3,2022-05-13,347,-11000,-11000,0
4,2022-05-13,347,-2500,-2500,0
1,2022-05-13,428,-26250,-26250,0
4,2022-05-13,428,-2500,-2500,0
1,2022-05-13,927,-5250,-5250,0
2,2022-05-13,927,-16000,-16000,0
1,2022-05-14,298,-5250,-5250,0
2,2022-05-14,298,-16000,-16000,0
3,2022-05-14,298,-27500,-27500,0
1,2022-05-15,606,-5250,-5250,0
2,2022-05-15,606,-16000,-16000,0
4,2022-05-15,606,-500,-500,0
5,2022-05-15,606,-10000,-10000,0
2,2022-05-15,744,-80000,-80000,0
3,2022-05-15,744,-110000,-110000,0
1,2022-05-16,187,-26250,-26250,0
3,2022-05-16,187,-11000,-11000,0
4,2022-05-16,187,-2500,-2500,0
3,2022-05-17,698,-11000,-11000,0
4,2022-05-17,698,-2500,-2500,0
1,2022-05-18,709,-26250,-26250,0
4,2022-05-18,709,-2500,-2500,0
1,2022-05-18,715,-26250,-26250,0
4,2022-05-18,715,-2500,-2500,0
1,2022-05-18,720,-26250,-26250,0
3,2022-05-18,720,-11000,-11000,0
4,2022-05-18,720,-2500,-2500,0
1,2022-05-18,769,-5250,-5250,0
2,2022-05-18,769,-16000,-16000,0
4,2022-05-18,769,-500,-500,0
5,2022-05-18,769,-10000,-10000,0
2,2022-05-19,167,-80000,-80000,0
3,2022-05-19,167,-110000,-110000,0
5,2022-05-19,167,-50000,-50000,0
1,2022-05-20,358,-26250,-26250,0
4,2022-05-20,358,-2500,-2500,0
1,2022-05-20,793,-5250,-5250,0
2,2022-05-20,793,-16000,-16000,0
4,2022-05-20,793,-500,-500,0
5,2022-05-20,793,-10000,-10000,0
1,2022-05-22,218,-26250,-26250,0
4,2022-05-22,218,-2500,-2500,0
1,2022-05-24,714,-26250,-26250,0
3,2022-05-24,714,-11000,-11000,0
4,2022-05-24,714,-2500,-2500,0
1,2022-05-25,672,-5250,-5250,0
1,2022-05-25,811,-5250,-5250,0
3,2022-05-25,811,-27500,-27500,0
5,2022-05-25,811,-10000,-10000,0
